protein_id,phi_mean,phi_std,psi_mean,psi_std,rsa_mean,rsa_std,contact_number_mean,contact_number_std,long_range_contacts_mean,betweenness_centrality_mean,core_mean,plddt_mean_mean,plddt_mean_std,disorder_proxy_mean,is_helix_mean,is_sheet_mean,is_coil_mean,label,long_range_norm,charged_fraction,polar_fraction,hydrophobic_fraction,contact_order,graph_density,total_sasa,length,contact_density,mean_entropy,variance_entropy,std_entropy,skew_entropy,pct_conserved,pct_variable,cysteine_count,cysteine_fraction,has_4plus_cys,is_short
seq_266,-57.68,66.32758,93.372894,37.426952,0.72639257,0.22651865,5.6266665,2.2625048,1.2888889,0.097933486,0.0311111111111111,52.42569,14.73457,0.8266666666666667,0.0,0.2488888888888888,0.7511111111111111,1,51.540276,0.0622222222222222,0.4355555555555555,0.4488888888888889,16.727184,0.026180904522613,2322.0,225.0,31.824873,0.0,0.0,0.0,0.0,0.0,0.0,11,0.04888888888888889,1,1
seq_132,-43.87808,78.14976,41.206852,80.6109,0.57705694,0.29208088,7.39726,3.3239021,1.150685,0.0453459,0.1506849315068493,69.539314,18.944454,0.4383561643835616,0.3424657534246575,0.0,0.6575342465753424,1,11.355555,0.2054794520547945,0.3287671232876712,0.410958904109589,7.9946656,0.1089447236180904,795.0,73.0,14.597105,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0958904109589041,1,1
seq_134,-66.53043,59.52661,34.104347,83.345695,0.3587674,0.33045855,9.686956,3.4750898,3.0086956,0.019137364,0.4652173913043478,91.32369,16.64871,0.1478260869565217,0.4,0.1304347826086956,0.4695652173913043,1,71.43626,0.1782608695652174,0.2652173913043478,0.4478260869565217,14.469661,0.0406030150753768,2520.0,230.0,20.145126,0.0,0.0,0.0,0.0,0.0,0.0,4,0.017391304347826087,1,1
seq_525,-74.10087,62.29363,75.069565,86.417046,0.45077989,0.32353455,8.608696,3.3864944,2.9913044,0.03051916,0.3478260869565217,73.40261,19.45544,0.3478260869565217,0.1217391304347826,0.3826086956521739,0.4956521739130435,1,39.95959,0.1913043478260869,0.2956521739130435,0.3826086956521739,8.472551,0.0694472361809045,2535.0,115.0,16.352858,0.0,0.0,0.0,0.0,0.0,0.0,6,0.05217391304347826,1,1
seq_517,-61.149685,69.92886,88.22405,74.14485,0.5187684,0.33281508,7.753165,3.4294462,1.9873418,0.026355056,0.2943037974683544,67.28953,27.113718,0.4113924050632911,0.1170886075949367,0.1234177215189873,0.759493670886076,1,80.99917,0.170886075949367,0.3481012658227848,0.3955696202531645,15.074527,0.0216582914572864,7045.5,316.0,26.107708,0.0217298854039546,1.0944950972880575e-05,0.0033083154282626,-0.3168277546384089,0.0,0.0328282828282828,16,0.05063291139240506,1,1
seq_532,-68.01325,64.502556,51.23012,79.83261,0.65010405,0.25656378,7.084337,2.5719159,0.91566265,0.044593915,0.072289156626506,57.903614,13.770202,0.7228915662650602,0.216867469879518,0.1204819277108433,0.6626506024096386,1,10.72789,0.1566265060240964,0.2891566265060241,0.4939759036144578,6.17153,0.0756281407035175,1863.0,83.0,16.250103,0.0,0.0,0.0,0.0,0.0,0.0,5,0.060240963855421686,1,1
seq_282,-71.451355,72.41481,103.63243,75.445564,0.46498513,0.32750508,8.504504,3.1962304,3.7657657,0.03462495,0.3153153153153153,85.3845,14.288807,0.2252252252252252,0.0,0.4144144144144144,0.5855855855855856,1,49.15042,0.0990990990990991,0.3513513513513513,0.4324324324324324,12.832798,0.0752261306532663,1252.5,111.0,17.934172,0.3302830399191215,0.0009048046660348,0.0300799711774271,0.3640730955644757,0.0,0.4,2,0.018018018018018018,0,1
seq_425,-73.93452,65.66817,88.06599,80.21866,0.41358492,0.33373514,9.218274,3.3983896,3.035533,0.023357958,0.3908629441624365,90.24375,14.241282,0.1370558375634517,0.0558375634517766,0.3299492385786802,0.6142131979695431,1,64.87114,0.2182741116751269,0.2741116751269035,0.4263959390862944,13.242855,0.0452763819095477,2239.5,197.0,19.169518,0.0,0.0,0.0,0.0,0.0,0.0,4,0.02030456852791878,1,1
seq_462,-71.96818,76.352005,38.898487,73.81158,0.5574352,0.26902655,8.272727,2.477874,0.93939394,0.042642772,0.1666666666666666,53.709545,11.965815,0.8333333333333334,0.2878787878787879,0.1666666666666666,0.5454545454545454,1,7.494505,0.1363636363636363,0.3787878787878788,0.4090909090909091,6.840895,0.1189447236180904,750.0,66.0,14.505901,0.0,0.0,0.0,0.0,0.0,0.0,7,0.10606060606060606,1,1
seq_454,-66.80606,76.26327,40.666668,79.56778,0.5674143,0.25905335,8.363636,2.8963444,1.9090909,0.047698136,0.1515151515151515,59.884243,8.996372,0.8484848484848485,0.3333333333333333,0.1515151515151515,0.5151515151515151,1,15.065216,0.106060606060606,0.4393939393939394,0.3636363636363636,8.513053,0.1223618090452261,732.0,66.0,17.499771,0.064846112694521,0.0002156280127993,0.0146842777418365,2.343882868206533,0.0098039215686274,0.7843137254901961,7,0.10606060606060606,1,1
